Price,Room_Count,Area(sqrmt),Age,Floor
              5.250              TL,2 + 1,                          70 m2,45 Yaşında,                      Yüksek Giriş
              9.500              TL,1 + 1,                          90 m2,6 Yaşında,                      1. Kat
              5.000              TL,2 + 1,                          80 m2,30 Yaşında,                      2. Kat
              15.000              TL,4 + 2,                          180 m2,40 Yaşında,                      2. Kat
              7.000              TL,2 + 1,                          95 m2,25 Yaşında,                      1. Kat
              14.000              TL,2 + 1,                          110 m2,20 Yaşında,                      Teras Katı
              5.500              TL,Stüdyo,                          55 m2,5 Yaşında,                      2. Kat
              4.500              TL,Stüdyo,                          30 m2,Sıfır Bina,                      1. Kat
              15.000              TL,2 + 1,                          100 m2,32 Yaşında,                      1. Kat
              6.000              TL,1 + 1,                          65 m2,30 Yaşında,                      2. Kat
              8.750              TL,3 + 1,                          120 m2,30 Yaşında,                      4. Kat
              6.500              TL,1 + 1,                          75 m2,30 Yaşında,                      Giriş Katı
              5.000              TL,1 + 1,                          60 m2,30 Yaşında,                      1. Kat
              4.000              TL,2 + 1,                          75 m2,40 Yaşında,                      1. Kat
              5.500              TL,2 + 1,                          80 m2,32 Yaşında,                      En Üst Kat
              9.000              TL,3 + 1,                          120 m2,31 Yaşında,                      4. Kat
              8.700              TL,2 + 1,                          100 m2,32 Yaşında,                      2. Kat
              700              TL,3 + 1,                          130 m2,18 Yaşında,                      En Üst Kat
              9.500              TL,2 + 1,                          85 m2,30 Yaşında,                      1. Kat
              1.100              TL,1 + 1,                          85 m2,10 Yaşında,                      Bahçe Katı
              8.000              TL,2 + 1,                          90 m2,30 Yaşında,                      Yüksek Giriş
              6.500              TL,2 + 1,                          85 m2,35 Yaşında,                      1. Kat
              25.000              TL,1 + 1,                          70 m2,Sıfır Bina,                      1. Kat
              16.000              TL,2 + 1,                          100 m2,31 Yaşında,                      Yüksek Giriş
              7.500              TL,2 + 1,                          150 m2,31 Yaşında,                      Giriş Katı
              5.000              TL,1 + 1,                          65 m2,30 Yaşında,                      Ara Kat
              5.000              TL,1 + 1,                          60 m2,15 Yaşında,                      Yüksek Giriş
              7.500              TL,2 + 1,                          90 m2,36 Yaşında,                      1. Kat
              14.000              TL,2 + 1,                          120 m2,25 Yaşında,                      4. Kat
              2.000              TL,1 + 1,                          41 m2,40 Yaşında,                      2. Kat
              14.000              TL,2 + 1,                          130 m2,32 Yaşında,                      1. Kat
              6.500              TL,2 + 1,                          85 m2,30 Yaşında,                      2. Kat
              17.000              TL,2 + 1,                          90 m2,21 Yaşında,                      3. Kat
              4.000              TL,2 + 1,                          65 m2,30 Yaşında,                      1. Kat
              7.000              TL,2 + 1,                          110 m2,50 Yaşında,                      Çatı Katı
              6.000              TL,Stüdyo,                          45 m2,5 Yaşında,                      2. Kat
              5.000              TL,Stüdyo,                          25 m2,25 Yaşında,                      En Üst Kat
              5.000              TL,1 + 1,                          65 m2,30 Yaşında,                      1. Kat
              4.000              TL,Stüdyo,                          25 m2,25 Yaşında,                      En Üst Kat
              11.000              TL,3 + 1,                          150 m2,30 Yaşında,                      2. Kat
              11.000              TL,2 + 1,                          110 m2,30 Yaşında,                      1. Kat
              11.000              TL,3 + 1,                          95 m2,30 Yaşında,                      Yüksek Giriş
              4.500              TL,Stüdyo,                          25 m2,31 Yaşında,                      1. Kat
              3.500              TL,Stüdyo,                          25 m2,40 Yaşında,                      Ara Kat
              11.000              TL,2 + 1,                          65 m2,40 Yaşında,                      Ara Kat
              5.000              TL,Stüdyo,                          35 m2,31 Yaşında,                      2. Kat
              8.000              TL,2 + 1,                          100 m2,31 Yaşında,                      1. Kat
              5.000              TL,Stüdyo,                          25 m2,40 Yaşında,                      2. Kat
              8.000              TL,2 + 1,                          95 m2,31 Yaşında,                      1. Kat
              5.000              TL,1 + 1,                          70 m2,35 Yaşında,                      2. Kat
              5.000              TL,1 + 1,                          65 m2,28 Yaşında,                      Giriş Katı
